rank,symbol,ticker,days_data,last_price,adf_statistic,adf_p_value,stationary_95pct,price_range,range_pct,avg_daily_range_pct,half_life,hurst_exponent,hurst_state,regime,trend_slope,pct_above_ema200,atr,atr_pct,grid_spacing,grid_spacing_pct,selected
11,WBT,WBT-USD,732,56.806819915771484,0.12199381249489222,0.9675310272880158,False,57.14247417449951,985.9873914283368,2.172679002033069,-8469.760834152534,0.549143277755026,Random,UPTREND,0.0023197856696330643,1.0,1.3817621828367952,0.03274428923462288,0.6908810914183976,0.012161939225656,True
41,PAXG,PAXG-USD,732,4356.462890625,0.6102754379574408,0.9878661815734581,False,2585.504638671875,130.42866265454202,1.2567460398900931,-775.4019005186045,0.6258400807117475,Random,UPTREND,0.0012306975829505444,1.0,59.04117466675188,0.018443716675002553,29.52058733337594,0.006776274256095125,True
32,XAUT,XAUT-USD,732,4349.37451171875,0.6578680842317056,0.9889584384454985,False,2551.508544921875,128.09222119172458,1.1157197908347527,-628.5047796374497,0.6334897944946898,Random,UPTREND,0.0012442019309075248,1.0,55.03335150839184,0.01628635091565865,27.51667575419592,0.006326582289029442,True
17,XMR,XMR-USD,732,419.5805358886719,-0.294599889943672,0.926265674914174,False,371.68895721435547,354.0652996563203,5.3674231167663065,361.5435857086884,0.40380830925061106,Random,UPTREND,0.0016752342930388697,0.8985074626865671,22.227701270700038,0.06363008148084366,11.113850635350019,0.02648800333840767,True
13,BCH,BCH-USD,732,592.3270263671875,-2.360625406242669,0.1531592820234865,False,465.61688232421875,202.8447094679089,6.009798148028657,40.767603171737235,0.35698300116025006,Random,UPTREND,0.0016917861925471055,0.6507462686567164,26.518934027209188,0.057198645417419355,13.259467013604594,0.022385382438019907,True
50,HTX,HTX-USD,709,1.9999999949504854e-06,-1.572565215377426,0.49735857689163365,False,2.999999992425728e-06,300.0,4.154896540046343,9.872764742249348,0.30857014298078256,Mean-Reverting,OTHER,-0.00010612509088106181,1.0,3.6722675302310535e-11,0.003337203693343212,1.8361337651155268e-11,9.180668848756594e-06,False
43,USDF,USDF-USD,732,2.1423940658569336,-2.0585257732768136,0.2615151167988312,False,1.5775659680366516,173.80506071844275,2.7631809383562893,82.96395612707028,0.41094724871557853,Random,OTHER,8.70328747916035e-06,1.0,2.8091607376106104e-13,2.383173332650566e-11,1.4045803688053052e-13,6.556125183456802e-14,False
15,LEO,LEO-USD,732,9.567176818847656,-1.6271415663071673,0.4689872826168576,False,6.074465990066528,157.03501499305958,2.857292867934981,122.10603117541132,0.5423999381472028,Random,OTHER,-2.5486176220667978e-05,0.9074626865671642,0.43227929883305594,0.01678477917659251,0.21613964941652797,0.022591789982466477,False
8,TRX,TRX-USD,732,0.2865230143070221,-1.184759296842558,0.6801172777350881,False,0.3232240155339241,314.5181637995353,3.0008559558751404,83.3095559361279,0.456996890919649,Random,OTHER,0.0011620609024239445,0.8805970149253731,0.004203374434688066,0.024590714741129276,0.002101687217344033,0.007335142771784406,False
42,BGB,BGB-USD,732,3.4997189044952393,-1.8347193961813875,0.3633657423573463,False,7.526229560375214,1302.7469599536055,4.85945236699248,168.91823813310106,0.5177474886204158,Random,OTHER,-0.0008597341944703282,0.817910447761194,0.061324386659710836,0.048733157874469926,0.030662193329855418,0.008761330314406434,False
1,BTC,BTC-USD,732,88731.984375,-1.861559621990136,0.3503550164555389,False,85245.1640625,215.770298379871,3.681512216148989,111.55942938541185,0.4792150954621187,Random,OTHER,0.0005993450478351238,0.7880597014925373,2556.776047770456,0.03685851075291265,1278.388023885228,0.014407296679881425,False
4,BNB,BNB-USD,732,863.0546264648438,-1.7830983146721673,0.38888460668237357,False,1018.2950744628906,348.82761801624594,4.114870537415479,85.23680645780522,0.4420260441231509,Random,OTHER,0.0017726209308339131,0.755223880597015,24.486330468829177,0.0598662918660826,12.243165234414588,0.014185852041097088,False
46,OKB,OKB-USD,732,110.05608367919922,-1.7077742048896027,0.42711148963044704,False,197.16510391235352,602.6818158656139,4.9474402743487955,120.26929397074122,0.418947415954241,Random,OTHER,0.00435839592952304,0.7134328358208956,4.013665261155333,0.07494088827871169,2.0068326305776667,0.01823463604635753,False
3,USDT,USDT-USD,732,0.9987450242042542,-6.5529183428467155,8.759685630932944e-09,True,0.004380941390991211,0.43904113893125324,0.1813205914251071,2.719216773757938,0.06791219176859092,Mean-Reverting,OTHER,1.1267002869631427e-06,0.5970149253731343,0.0017743920878420401,0.0020475284966625057,0.0008871960439210201,0.0008883108525400562,False
2,ETH,ETH-USD,732,3000.394287109375,-2.2458099385686707,0.1900409580793853,False,3358.7955322265625,228.09333876585356,5.284997005734811,52.80663622996206,0.45495336546205256,Random,OTHER,0.0017761547054647136,0.582089552238806,115.6138273761161,0.06151286959964541,57.80691368805805,0.019266439059831067,False
30,HBAR,HBAR-USD,732,0.11422800272703171,-2.1941557064257133,0.2083734322178254,False,0.3327370136976242,783.2054682953983,7.716760391905403,71.23397568560632,0.45988858903505836,Random,OTHER,-0.0008593994098571145,0.5492537313432836,0.006447968618494954,0.08450716200971661,0.003223984309247477,0.02822411521062629,False
33,PYUSD,PYUSD-USD,732,0.9996100068092346,-2.162661606023104,0.22007505147293027,False,0.006066024303436279,0.609487732899791,0.18615648492374853,1.274303570524807,0.07627443917297805,Mean-Reverting,OTHER,-3.512587150509013e-07,0.5462686567164179,0.0007472666312588173,0.0009365429080295262,0.00037363331562940863,0.0003737790869281611,False
