Date,Adj Close,Close,High,Low,Open,Volume
2024-05-28,3.400000059627928e-05,3.400000059627928e-05,4.199999966658652e-05,3.099999958067201e-05,3.099999958067201e-05,89675
2024-05-29,3.400000059627928e-05,3.400000059627928e-05,3.899999865097925e-05,3.199999991920777e-05,3.400000059627928e-05,92801
2024-05-30,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.400000059627928e-05,3.400000059627928e-05,139938
2024-05-31,3.400000059627928e-05,3.400000059627928e-05,4.099999932805076e-05,3.199999991920777e-05,3.9999998989515007e-05,174412
2024-06-01,4.099999932805076e-05,4.099999932805076e-05,5.700000110664405e-05,3.300000025774352e-05,3.400000059627928e-05,79080
2024-06-02,4.5000000682193786e-05,4.5000000682193786e-05,5.8000001445179805e-05,3.600000127335079e-05,4.099999932805076e-05,90372
2024-06-03,3.9999998989515007e-05,3.9999998989515007e-05,4.5000000682193786e-05,3.9999998989515007e-05,4.5000000682193786e-05,18195
2024-06-04,4.099999932805076e-05,4.099999932805076e-05,4.70000013592653e-05,3.899999865097925e-05,3.9999998989515007e-05,63736
2024-06-05,4.600000102072954e-05,4.600000102072954e-05,5.500000042957254e-05,4.099999932805076e-05,4.099999932805076e-05,107851
2024-06-06,4.400000034365803e-05,4.400000034365803e-05,5.199999941396527e-05,4.3000000005122274e-05,4.600000102072954e-05,98098
2024-06-07,4.099999932805076e-05,4.099999932805076e-05,4.8000001697801054e-05,3.9999998989515007e-05,4.400000034365803e-05,108870
2024-06-08,4.400000034365803e-05,4.400000034365803e-05,4.8000001697801054e-05,4.099999932805076e-05,4.099999932805076e-05,20488
2024-06-09,3.9999998989515007e-05,3.9999998989515007e-05,4.400000034365803e-05,2.8000000384054147e-05,4.400000034365803e-05,19462
2024-06-10,4.099999932805076e-05,4.099999932805076e-05,4.400000034365803e-05,3.7999998312443495e-05,3.9999998989515007e-05,37349
2024-06-11,4.199999966658652e-05,4.199999966658652e-05,4.3000000005122274e-05,3.7000001611886546e-05,4.099999932805076e-05,1332032
2024-06-12,3.9999998989515007e-05,3.9999998989515007e-05,4.3000000005122274e-05,3.899999865097925e-05,4.199999966658652e-05,12275986
2024-06-13,3.7000001611886546e-05,3.7000001611886546e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.9999998989515007e-05,2311630
2024-06-14,3.600000127335079e-05,3.600000127335079e-05,3.9999998989515007e-05,3.400000059627928e-05,3.7000001611886546e-05,149557
2024-06-15,3.600000127335079e-05,3.600000127335079e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.600000127335079e-05,310771
2024-06-16,4.199999966658652e-05,4.199999966658652e-05,4.400000034365803e-05,3.400000059627928e-05,3.600000127335079e-05,3146457
2024-06-17,3.400000059627928e-05,3.400000059627928e-05,4.199999966658652e-05,3.300000025774352e-05,4.199999966658652e-05,7629964
2024-06-18,3.300000025774352e-05,3.300000025774352e-05,3.5000000934815034e-05,3.199999991920777e-05,3.400000059627928e-05,20280
2024-06-19,3.300000025774352e-05,3.300000025774352e-05,3.400000059627928e-05,3.199999991920777e-05,3.300000025774352e-05,9163
2024-06-20,3.400000059627928e-05,3.400000059627928e-05,3.5000000934815034e-05,3.300000025774352e-05,3.300000025774352e-05,44975
2024-06-21,3.099999958067201e-05,3.099999958067201e-05,3.400000059627928e-05,2.8000000384054147e-05,3.400000059627928e-05,18505
2024-06-22,3.199999991920777e-05,3.199999991920777e-05,3.5000000934815034e-05,2.9999999242136255e-05,3.099999958067201e-05,2686
2024-06-23,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,2.9999999242136255e-05,3.199999991920777e-05,2343
2024-06-24,2.9999999242136255e-05,2.9999999242136255e-05,3.400000059627928e-05,2.9999999242136255e-05,3.199999991920777e-05,1293
2024-06-25,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,12989
2024-06-26,2.9000000722589903e-05,2.9000000722589903e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,11609
2024-06-27,2.9999999242136255e-05,2.9999999242136255e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9000000722589903e-05,1345
2024-06-28,1.9999999494757503e-05,1.9999999494757503e-05,3.099999958067201e-05,1.8999999156221747e-05,2.9999999242136255e-05,9119
2024-06-29,2.099999983329326e-05,2.099999983329326e-05,2.300000051036477e-05,1.9999999494757503e-05,1.9999999494757503e-05,1631
2024-06-30,1.8000000636675395e-05,1.8000000636675395e-05,2.2000000171829015e-05,1.700000029813964e-05,2.099999983329326e-05,7191
2024-07-01,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,1349
2024-07-02,1.4999999621068127e-05,1.4999999621068127e-05,1.8000000636675395e-05,1.4000000192027073e-05,1.8000000636675395e-05,3531
2024-07-03,1.4999999621068127e-05,1.4999999621068127e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.4999999621068127e-05,2095
2024-07-04,1.4000000192027073e-05,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4999999621068127e-05,929
2024-07-05,1.2000000424450263e-05,1.2000000424450263e-05,1.8000000636675395e-05,1.1000000085914508e-05,1.4000000192027073e-05,1577
2024-07-06,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.2000000424450263e-05,2345
2024-07-07,1.2999999853491317e-05,1.2999999853491317e-05,1.700000029813964e-05,1.2000000424450263e-05,1.2999999853491317e-05,4175
2024-07-08,1.4000000192027073e-05,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,6687
